CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS
8634,BIOL 109L,9,General Biology Laboratory,1,  AINW,Lab,R,2000-2150,FORBES 1027,Sweet  Krista,14,Open
8635,BIOL 113,1,Topics in Medicine and Health,3,  AINW,Lec,MWF,1100-1150,FORBES 1022,Wiens  Katie,0,Closed
8636,BIOL 115,1,Tpcs in Ecology &amp; Environment,3,  AINW,Lec,MWF,1200-1250,FORBES 1022,Atkinson  Robert,0,Closed
8640,BIOL 211,1,Principles of Biology I,3,,Lec,MWF,0800-0850,FORBES 2070D,Wiens  Katie,18,Open
8641,BIOL 211,2,Principles of Biology I,3,,Lec,MWF,0900-0950,FORBES 2070D,Mitrano  Darlene,0,Closed
8649,BIOL 211,3,Principles of Biology I,3,,Lec,TR,1100-1215,FORBES 2015,Bogenpohl  James,0,Closed
8650,BIOL 211,4,Principles of Biology I,3,,Lec,TR,1330-1445,FORBES 2015,Bogenpohl  James,4,Open
8652,BIOL 211L,1,Principles of Biology I Lab,1,,Lab,M,1300-1650,FORBES 1009,Tombolato-Terzic  Denise,0,Closed
8653,BIOL 211L,2,Principles of Biology I Lab,1,,Lab,W,1300-1650,FORBES 1009,Brown  Susan,0,Closed
8654,BIOL 211L,3,Principles of Biology I Lab,1,,Lab,T,0800-1150,FORBES 1009,Tombolato-Terzic  Denise,1,Open
8655,BIOL 211L,4,Principles of Biology I Lab,1,,Lab,R,0800-1150,FORBES 1009,Mitrano  Darlene,0,Closed
8656,BIOL 211L,5,Principles of Biology I Lab,1,,Lab,F,1300-1650,FORBES 1009,Brown  Susan,17,Open
8658,BIOL 211L,6,Principles of Biology I Lab,1,,Lab,T,1800-2150,FORBES 1009,Aguilar  Leah,0,Closed
8659,BIOL 211L,7,Principles of Biology I Lab,1,,Lab,W,1800-2150,FORBES 1009,Dorsey  Brittany,0,Closed
8661,BIOL 211L,8,Principles of Biology I Lab,1,,Lab,R,1800-2150,FORBES 1009,Bogenpohl  James,0,Closed
8663,BIOL 212,2,Principles of Biology II,3,,Lec,TR,0930-1045,FORBES 2015,Harwell  Heather,0,Closed
8665,BIOL 212,3,Principles of Biology II,3,,Lec,TR,1100-1215,FORBES 2070E,Burke  Russell,0,Closed
9324,BIOL 212,4,Principles of Biology II,3,,Lec,MWF,1100-1150,FORBES 1039,Lattanzio  Matthew,0,Closed
8666,BIOL 212L,1,Principles of Biology II Lab,1,,Lab,W,1000-1350,FORBES 1027,Haymond  Shauna,0,Closed
8668,BIOL 212L,2,Principles of Biology II Lab,1,,Lab,T,1330-1720,FORBES 1027,Lattanzio  Matthew,0,Closed
8670,BIOL 212L,3,Principles of Biology II Lab,1,,Lab,T,1330-1720,FORBES 1002,Jaworski  Kortney,1,Open
8671,BIOL 212L,4,Principles of Biology II Lab,1,,Lab,R,1330-1720,FORBES 1027,Haymond  Shauna,5,Open
8673,BIOL 212L,5,Principles of Biology II Lab,1,,Lab,R,1330-1720,FORBES 1002,Lattanzio  Matthew,2,Open
8676,BIOL 213,1B,Principles in Biology III,3,,Lec,MWF,1100-1150,MCM 262,Steven  Janet; Collar  David,0,Closed
8677,BIOL 213,2A,Principles in Biology III,3,,Lec,MWF,1100-1150,MCM 260,Collar  David; Steven  Janet,0,Closed
8675,BIOL 213,3B,Principles in Biology III,3,,Lec,MWF,0900-0950,LUTR 121,Steven  Janet; Collar  David,3,Open
8678,BIOL 213L,1A,Principles of Biology III Lab,1,,Lab,R,0900-1250,FORBES 1039,Tweed  Michael; Deschenes  Michelle,0,Closed
8680,BIOL 213L,2B,Principles of Biology III Lab,1,,Lab,R,0900-1250,FORBES 1033,Deschenes  Michelle; Tweed  Michael,0,Closed
8681,BIOL 213L,3B,Principles of Biology III Lab,1,,Lab,M,1300-1650,FORBES 1033,Deschenes  Michelle; Tweed  Michael,1,Open
8683,BIOL 213L,4A,Principles of Biology III Lab,1,,Lab,W,1300-1650,FORBES 1039,Tweed  Michael; Deschenes  Michelle,0,Closed
9325,BIOL 213L,4B,Principles of Biology III Lab,1,,Lab,F,1300-1650,FORBES 1033,Deschenes  Michelle; Tweed  Michael,5,Open
8684,BIOL 213L,5B,Principles of Biology III Lab,1,,Lab,W,1300-1650,FORBES 1033,Deschenes  Michelle; Tweed  Michael,0,Closed
8686,BIOL 301,1,Microbiology,4,,Lec,MWF,1000-1050,FORBES 2070D,Gruber  Todd,0,Closed
8689,BIOL 301L,1,Microbiology Laboratory,0,,Lab,T,0800-1150,FORBES 1015,Guidicelli-Gadea  Lourdes,0,Closed
8691,BIOL 301L,2,Microbiology Laboratory,0,,Lab,W,1800-2150,FORBES 1015,Guidicelli-Gadea  Lourdes,0,Closed
8692,BIOL 308,1,Plant Biology,4,,Lec,TR,0930-1045,FORBES 3014,Ruane  Lauren,0,Closed
8695,BIOL 308L,1,Plant Biology Laboratory,0,,Lab,T,1330-1720,FORBES 1033,Ruane  Lauren,0,Closed
8696,BIOL 312,1,Invertebrate Zoology,4,,Lec,TR,1100-1215,FORBES 2014,Harwell  Heather,0,Closed
8700,BIOL 312L,1,Invertebrate Zoology Lab,0,,Lab,T,1330-1720,FORBES 1039,Harwell  Heather,0,Closed
8702,BIOL 313,1,Genetics,3,,Lec,MWF,0800-0850,LUTR 121,Webb  Lisa,3,Open
8705,BIOL 315,1,Human Anatomy/Physiology II,3,,Lec,MW,1600-1715,FORBES 2015,Grau  Harold,22,Open
8713,BIOL 315,2,Human Anatomy/Physiology II,3,,Lec,TR,0930-1045,MCM 164,Grau  Harold,14,Open
8714,BIOL 315,3,Human Anatomy/Physiology II,3,,Lec,TR,1100-1215,MCM 164,Grau  Harold,1,Open
8715,BIOL 315L,1,Human Anatmy/Physiology II Lab,1,,Lab,M,1300-1650,FORBES 2056,Staff  CNU,0,Closed
8716,BIOL 315L,2,Human Anatmy/Physiology II Lab,1,,Lab,T,1330-1720,FORBES 2056,Lord  Roxanne,3,Open
8717,BIOL 315L,3,Human Anatmy/Physiology II Lab,1,,Lab,W,1300-1650,FORBES 2056,Lord  Roxanne,4,Open
8718,BIOL 315L,4,Human Anatmy/Physiology II Lab,1,,Lab,R,1330-1720,FORBES 2056,Knight  William,0,Closed
8719,BIOL 315L,5,Human Anatmy/Physiology II Lab,1,,Lab,T,1800-2150,FORBES 2056,Lord  Roxanne,9,Open
8720,BIOL 315L,6,Human Anatmy/Physiology II Lab,1,,Lab,R,1800-2150,FORBES 2056,Knight  William,0,Closed
8721,BIOL 326,1,Genomics  Proteomics &amp; Bioinfo,3,,Lec,MWF,1000-1050,MCM 114,Tombolato-Terzic  Denise,0,Closed
8722,BIOL 328,1,Island Biology &amp; Exp. Design,3,,Lec,R,1330-1520,FORBES 1033,Ruane  Lauren,0,Closed
8732,BIOL 365,1,Evolutionary Biology,3,,Lec,MWF,1100-1150,FORBES 2014,Thompson  Jessica,0,Closed
9209,BIOL 365,2,Evolutionary Biology,3,,Lec,MWF,1000-1050,LUTR 137,Steven  Janet,0,Closed
8723,BIOL 391,W1,WI: Junior Seminar,1,  WI,Lec,M,1700-1750,FORBES 2043,McKenzie  Virginia,0,Closed
9173,BIOL 391,W10,WI: Junior Seminar,1,  WI,Lec,T,1800-1850,FORBES 2014,Abraham  Barbara,0,Closed
8724,BIOL 391,W2,WI: Junior Seminar,1,  WI,Lec,T,1900-1950,FORBES 2051,Abraham  Barbara,0,Closed
8725,BIOL 391,W3,WI: Junior Seminar,1,  WI,Lec,W,1700-1750,FORBES 1033,Staff  CNU,0,Closed
8727,BIOL 391,W4,WI: Junior Seminar,1,  WI,Lec,R,1900-1950,FORBES 2051,Abraham  Barbara,0,Closed
8728,BIOL 391,W5,WI: Junior Seminar,1,  WI,Lec,T,1800-1850,FORBES 1033,Staff  CNU,0,Closed
8729,BIOL 391,W6,WI: Junior Seminar,1,  WI,Lec,W,1800-1850,FORBES 2043,Staff  CNU,0,Closed
8730,BIOL 391,W7,WI: Junior Seminar,1,  WI,Lec,R,1800-1850,FORBES 1033,Abraham  Barbara,0,Closed
9172,BIOL 391,W9,WI: Junior Seminar,1,  WI,Lec,M,1800-1850,FORBES 2012,McKenzie  Virginia,0,Closed
8733,BIOL 409,1,Comparative Anatomy Vert,4,,Lec,TR,1100-1215,FORBES 2043,Collar  David,7,Open
8734,BIOL 409L,1,Comp Anat Vert Lab,0,,Lab,F,1300-1650,FORBES 2056,Collar  David,7,Open
8735,BIOL 412,1,Fndmntl Molecular Biology,4,,Lec,TR,0930-1045,MCM 364,Meighan  Christopher,0,Closed
8736,BIOL 412L,1,Fndmntl Molecular Biology Lab,0,,Lab,M,1300-1650,FORBES 1015,Meighan  Christopher,0,Closed
8737,BIOL 418,1,Animal Behavior,3,,Lec,MWF,1000-1050,FORBES 2043,Sherwin  Rick,0,Closed
9205,BIOL 420,1,Animal Physiology,4,,Lec,TR,1100-1215,FORBES 2070C,Knight  William,0,Closed
9206,BIOL 420L,1,Animal Physiology Laboratory,0,,Lab,M,1300-1650,FORBES 2051,Knight  William,0,Closed
8740,BIOL 430,1,Biogeography,3,,Lec,MWF,0900-0950,FORBES 2043,Sherwin  Rick,0,Closed
8741,BIOL 435,1,Environmental Appl GIS,4,,Lec,TR,1730-1845,FORBES 2051,Whiting  Gary,0,Closed
8742,BIOL 435L,1,Environmental Appl of GIS Lab,0,,Lab,S,0800-1145,FORBES 2051,Whiting  Gary,0,Closed
8743,BIOL 440,1,Herpetology,4,,Lec,MWF,1200-1250,FORBES 2043,Meyer  Michael,0,Closed
8744,BIOL 440L,1,Herpetology Laboratory,0,,Lab,F,1300-1650,FORBES 2043,Meyer  Michael,0,Closed
8745,BIOL 450,1,Environmental Microbiology,4,,Lec,MWF,1100-1150,FORBES 2074,Knies  Jennifer,0,Closed
8746,BIOL 450L,1,Environmental Microbiology Lab,0,,Lab,R,1330-1720,FORBES 1015,Knies  Jennifer,0,Closed
8747,BIOL 450L,2,Environmental Microbiology Lab,0,,Lab,F,1300-1650,FORBES 1015,Knies  Jennifer,0,Closed
9174,BIOL 454,1,Global Change,3,,Lec,W,1730-2020,FORBES 2051,Whiting  Gary,0,Closed
8748,BIOL 491,W1,WI: Senior Seminar,1,  WI,Lec,M,0900-0950,FORBES 2012,Tombolato-Terzic  Denise,0,Closed
8749,BIOL 491,W2,WI: Senior Seminar,1,  WI,Lec,M,1000-1050,FORBES 2012,Harris  Steven,0,Closed
8750,BIOL 491,W3,WI: Senior Seminar,1,  WI,Lec,T,1000-1050,FORBES 2088,Harris  Steven,0,Closed
8751,BIOL 491,W4,WI: Senior Seminar,1,  WI,Lec,T,1700-1750,FORBES 2012,Dorsey  Brittany,0,Closed
8752,BIOL 491,W5,WI: Senior Seminar,1,  WI,Lec,T,1800-1850,FORBES 2012,Dorsey  Brittany,0,Closed
8753,BIOL 491,W6,WI: Senior Seminar,1,  WI,Lec,W,1100-1150,FORBES 1033,Tombolato-Terzic  Denise,0,Closed
9363,BIOL 491,W7,WI: Senior Seminar,1,  WI,Lec,R,1100-1150,FORBES 2088,Tombolato-Terzic  Denise,0,Closed
9320,BIOL 492,1,Ind St: Restoration Ecology,4-Jan,,Ind,,,ARR ,Harwell  Heather,0,Closed
9321,BIOL 492,2,Ind St: Hydrologic Restoration,4-Jan,,Ind,,,ARR ,Atkinson  Robert,0,Closed
9323,BIOL 492,3,Ind St: Benthic Ecology,4-Jan,,Ind,,,ARR ,Harwell  Heather,0,Closed
9353,BIOL 492,4,Ind St: Herp &amp; Field Photograp,4-Jan,,Ind,,,ARR ,Meyer  Michael,0,Closed
9356,BIOL 492,5,Ind St: Hydrology Effects,4-Jan,,Ind,,,ARR ,Atkinson  Robert,0,Closed
8754,BIOL 495,1,SP TPC:Marine Ecology,4,,Lec,TR,0930-1045,FORBES 2043,Burke  Russell,0,Closed
8758,BIOL 495,2,SP TPC: Community Ecology,4,,Lec,TR,0800-0915,FORBES 2051,Lattanzio  Matthew,12,Open
8756,BIOL 495L,1,SP TPC Lab: Marine Ecology,0,,Lab,R,1330-1720,FORBES 1039,Burke  Russell,0,Closed
8759,BIOL 495L,2,SP TPC Lab: Community Ecology,0,,Lab,W,1300-1650,FORBES 2051,Lattanzio  Matthew,12,Open
9365,BIOL 496,1,PRT: Orthopedic Surgeon Intern,3-Jan,,Pra,,,ARR ,Meyer  Michael,0,Closed
9322,BIOL 499,1,Ind St: Env Sci Careers,3-Jan,,Ind,,,ARR ,Atkinson  Robert,0,Closed
9338,BIOL 499,2,Ind St: Life of Pitcher Plants,3-Jan,,Ind,,,ARR ,Ruane  Lauren,0,Closed
9364,BIOL 499,3,Ind St: Wednesday&#39;s 4 Work,3-Jan,,Ind,,,ARR ,Atkinson  Robert,0,Closed
9369,BIOL 499,4,Ind St: DNA Squencing/Plant Cl,3-Jan,,Ind,,,ARR ,Steven  Janet,0,Closed
8062,BTMG 010,1,First YR-BTMG Activity Course,0,,Fie,,,ARR ,Staff,0,Closed
8027,BUSN 231,1,Applied Business Statistics,3,,Lec,MWF,0900-0950,LUTR 123,Staff,0,Closed
8028,BUSN 231,2,Applied Business Statistics,3,,Lec,MW,1800-1915,LUTR 123,Staff  CNU,0,Closed
8029,BUSN 231,3,Applied Business Statistics,3,,Lec,MW,1930-2045,LUTR 123,Staff  CNU,6,Open
8030,BUSN 231,4,Applied Business Statistics,3,,Lec,TR,1630-1745,LUTR 105,Staff,0,Closed
8031,BUSN 231,5,Applied Business Statistics,3,,Lec,MWF,1000-1050,LUTR 123,Staff,0,Closed
8032,BUSN 231,6,Applied Business Statistics,3,,Lec,TR,1500-1615,LUTR 105,Staff,0,Closed
8033,BUSN 300,1,Organizational Behavior,3,,Lec,MWF,0800-0850,LUTR 347,Spranger  Angela,1,Open
8035,BUSN 300,2,Organizational Behavior,3,,Lec,MWF,0900-0950,LUTR 347,Spranger  Angela,0,Closed
8036,BUSN 303,1,Fundamentals of Business,3,,Lec,MWF,1100-1150,LUTR 269,Staff,0,Closed
8037,BUSN 303,2,Fundamentals of Business,3,,Lec,,, ,,0,Closed
8038,BUSN 304,1,Operations Management,3,,Lec,TR,0930-1045,LUTR 105,Hasbrouck  Robert,0,Closed
8039,BUSN 304,2,Operations Management,3,,Lec,TR,1630-1745,LUTR 372,Staff,0,Closed
9311,BUSN 304,3,Operations Management,3,,Lec,TR,1800-1915,LUTR 347,Staff  CNU,10,Open
8040,BUSN 311,1,Marketing Management,3,,Lec,MWF,1200-1250,LUTR 264,Staff,0,Closed
8041,BUSN 311,2,Marketing Management,3,,Lec,MWF,1300-1350,LUTR 264,Staff,0,Closed
9307,BUSN 311,3,Marketing Management,3,,Lec,MWF,1000-1050,MCM 316,Staff  CNU,2,Open
8042,BUSN 323,1,Corporate Finance,3,,Lec,TR,0800-0915,LUTR 123,Staff  CNU,0,Closed
8043,BUSN 323,2,Corporate Finance,3,,Lec,MW,1600-1715,LUTR 242,Qin  Nan,0,Closed
8044,BUSN 351,1,Business Law I,3,,Lec,TR,1630-1745,LUTR 142,Staff  CNU,0,Closed
8045,BUSN 351,2,Business Law I,3,,Lec,TR,0930-1045,LUTR 376,Cohen  Ronnie,1,Open
8046,BUSN 351,3,Business Law I,3,,Lec,TR,1100-1215,LUTR 376,Cohen  Ronnie,1,Open
8047,BUSN 351,4,Business Law I,3,,Lec,TR,1500-1615,LUTR 372,Cohen  Ronnie,2,Open
9309,BUSN 351,5,Business Law I,3,,Lec,TR,0930-1045,MCM 366,Staff  CNU,0,Closed
9310,BUSN 351,6,Business Law I,3,,Lec,TR,1100-1215,LUTR 350,Staff  CNU,0,Closed
8048,BUSN 370,1,Bus &amp; Acct Info Systems,3,,Lec,TR,1930-2045,LUTR 109,Staff  CNU,6,Open
8049,BUSN 370,2,Bus &amp; Acct Info Systems,3,,Lec,TR,1800-1915,LUTR 105,Staff  CNU,0,Closed
8050,BUSN 371,1,Management Information Systems,3,,Lec,MWF,1000-1050,LUTR 105,Shaltayev  Dmitriy,0,Closed
8051,BUSN 371,2,Management Information Systems,3,,Lec,TR,1500-1615,LUTR 123,Staff  CNU,0,Closed
8052,BUSN 371,3,Management Information Systems,3,,Lec,TR,1630-1745,LUTR 123,Staff  CNU,0,Closed
8053,BUSN 418,1,Strategic Management,3,,Lec,MWF,1200-1250,FORBES 2090,Walker  Scott,1,Open
8054,BUSN 418,2,Strategic Management,3,,Lec,TR,1330-1445,FORBES 2090,Donaldson  William,0,Closed
8055,BUSN 418,3,Strategic Management,3,,Lec,TR,1630-1745,FORBES 2090,Donaldson  William,0,Closed
9308,BUSN 418,4,Strategic Management,3,,Lec,MWF,0800-0850,LUTR 142,Walker  Scott,4,Open
9312,BUSN 418,5,Strategic Management,3,,Lec,TR,0800-0915,LUTR 264,Donaldson  William,0,Closed
8056,BUSN 440,1,Luter Business Institute,3,,Lec,,, ,,0,Closed
8057,BUSN 448,1,Enterprise Management,3,,Lec,,, ,,0,Closed
8058,BUSN 448,2,Enterprise Management,3,,Lec,MWF,0900-0950,LUTR 105,Walker  Scott,0,Closed
8059,BUSN 448,3,Enterprise Management,3,,Lec,MWF,1100-1150,LUTR 105,Walker  Scott,0,Closed
8060,BUSN 480,1,Internship in Business,3,,Int,,,ARR ,Staff,0,Closed
8061,BUSN 491,1,Brout Seminar,3,,Lec,TR,0930-1045,LUTR 123,Hall  Thomas,0,Closed
8761,CHEM 104,1,Introductory Chemistry II,3,  AINW,Lec,MWF,1400-1450,FORBES 2070A,Staff  CNU,18,Open
8762,CHEM 104L,1,Introductory Chemistry Lab II,1,  AINW,Lab,M,1800-2150,FORBES 3002,Staff  CNU,8,Open
8763,CHEM 121,1,General Chemistry I,3,  AINW,Lec,MWF,1300-1350,FORBES 2015,Staff  CNU,0,Closed
8764,CHEM 121,2,General Chemistry I,3,  AINW,Lec,TR,1500-1615,FORBES 1022,Staff  CNU,1,Open
9354,CHEM 121,3,General Chemistry I,3,  AINW,Lec,MWF,1400-1450,FORBES 1022,Staff  CNU,46,Open
8765,CHEM 121L,1,General Chemistry Lab I,1,  AINW,Lab,T,1800-2150,FORBES 3002,Staff  CNU,0,Closed
8766,CHEM 121L,2,General Chemistry Lab I,1,  AINW,Lab,R,1800-2150,FORBES 3002,Staff  CNU,0,Closed
8767,CHEM 122,1,General Chemistry II,3,  AINW,Lec,TR,0800-0915,FORBES 1022,Staff  CNU,0,Closed
8769,CHEM 122,2,General Chemistry II,3,  AINW,Lec,MWF,0900-0950,FORBES 1022,Staff  CNU,2,Open
8771,CHEM 122,3,General Chemistry II,3,  AINW,Lec,MWF,1000-1050,MCM 101,Staff  CNU,0,Closed
8772,CHEM 122,4,General Chemistry II,3,  AINW,Lec,TR,1330-1445,FORBES 1022,Staff  CNU,0,Closed
8773,CHEM 122,5,General Chemistry II,3,  AINW,Lec,MWF,1300-1350,FORBES 2070E,Staff  CNU,2,Open
8776,CHEM 122,6,General Chemistry II,3,  AINW,Lec,MWF,1400-1450,FORBES 2070E,Staff  CNU,4,Open
8778,CHEM 122L,1,General Chemistry Lab II,1,  AINW,Lab,T,0830-1220,FORBES 3009,Staff  CNU,2,Open
8793,CHEM 122L,10,General Chemistry Lab II,1,  AINW,Lab,T,1800-2150,FORBES 3009,Staff  CNU,0,Closed
8794,CHEM 122L,11,General Chemistry Lab II,1,  AINW,Lab,W,1800-2150,FORBES 3009,Staff  CNU,0,Closed
8795,CHEM 122L,12,General Chemistry Lab II,1,  AINW,Lab,R,1800-2150,FORBES 3009,Staff  CNU,0,Closed
8779,CHEM 122L,2,General Chemistry Lab II,1,  AINW,Lab,R,0830-1220,FORBES 3009,Staff  CNU,1,Open
8780,CHEM 122L,3,General Chemistry Lab II,1,  AINW,Lab,M,1300-1650,FORBES 3009,Staff  CNU,0,Closed
8781,CHEM 122L,4,General Chemistry Lab II,1,  AINW,Lab,W,1300-1650,FORBES 3009,Staff  CNU,0,Closed
